add-none,2,100,400,136791,341,0
add-none,2,1000,4000,137000,34,0
add-none,2,10000,40000,917768,22,1140
add-none,2,100000,400000,6091282,15,-14538
add-none,4,100,800,188641,235,0
add-none,4,1000,8000,239037,29,271
add-none,4,10000,80000,1471575,18,1404
add-none,4,100000,800000,14278723,17,-26151
add-none,8,100,1600,271354,169,0
add-none,8,1000,16000,350434,21,482
add-none,8,10000,160000,3205748,20,93
add-none,8,100000,1600000,30330955,18,-1652
add-none,12,100,2400,424890,177,71
add-none,12,1000,24000,618982,25,362
add-none,12,10000,240000,4863034,20,5300
add-none,12,100000,2400000,45881717,19,-10925
add-yield-none,2,10,40,93970,2349,8
add-yield-none,4,10,80,175697,2196,0
add-yield-none,8,10,160,300523,1878,9
add-yield-none,12,10,240,354017,1475,14
add-yield-none,2,20,80,156889,1961,0
add-yield-none,4,20,160,193378,1208,32
add-yield-none,8,20,320,256042,800,36
add-yield-none,12,20,480,426124,887,37
add-yield-none,2,40,160,208016,1300,2
add-yield-none,4,40,320,222454,695,3
add-yield-none,8,40,640,320483,500,57
add-yield-none,12,40,960,463035,482,130
add-yield-none,2,80,320,231201,722,-23
add-yield-none,4,80,640,220613,344,-4
add-yield-none,8,80,1280,395727,309,76
add-yield-none,12,80,1920,462547,240,137
add-yield-none,2,100,400,297871,744,-12
add-yield-none,4,100,800,324529,405,-56
add-yield-none,8,100,1600,435456,272,-13
add-yield-none,12,100,2400,544310,226,41
add-yield-none,2,1000,4000,1574643,393,1
add-yield-none,4,1000,8000,1621279,202,-35
add-yield-none,8,1000,16000,2067537,129,65
add-yield-none,12,1000,24000,2747199,114,-200
add-yield-none,2,10000,40000,14866620,371,-268
add-yield-none,4,10000,80000,15493746,193,-408
add-yield-none,8,10000,160000,18770733,117,-627
add-yield-none,12,10000,240000,26026092,108,-1241
add-yield-none,2,100000,400000,132553174,331,-305
add-yield-none,4,100000,800000,145731958,182,-102
add-yield-none,8,100000,1600000,183335701,114,-5511
add-yield-none,12,100000,2400000,249177250,103,-5979
add-none,1,100,200,76477,382,0
add-none,1,1000,2000,174608,87,0
add-none,1,10000,20000,209126,10,0
add-none,1,100000,200000,1591296,7,0
add-none,1,1000000,2000000,13654726,6,0
add-none,2,100,400,166489,416,0
add-none,2,1000,4000,135814,33,0
add-none,2,10000,40000,917177,22,-1174
add-none,2,100000,400000,6321009,15,-17974
add-none,2,1000000,4000000,57412728,14,-195367
add-none,4,100,800,161805,202,0
add-none,4,1000,8000,207867,25,-647
add-none,4,10000,80000,1668169,20,-83
add-none,4,100000,800000,15270772,19,-25592
add-none,4,1000000,8000000,154952297,19,-227603
add-yield-none,1,100,200,269618,1348,0
add-yield-none,1,1000,2000,1367098,683,0
add-yield-none,1,10000,20000,12175902,608,0
add-yield-none,1,100000,200000,112720164,563,0
add-yield-none,1,1000000,2000000,1149424395,574,0
add-yield-none,2,100,400,252392,630,11
add-yield-none,2,1000,4000,1561979,390,-31
add-yield-none,2,10000,40000,13735380,343,-519
add-yield-none,2,100000,400000,134233630,335,355
add-yield-none,2,1000000,4000000,1287395828,321,484
add-yield-none,4,100,800,344697,430,19
add-yield-none,4,1000,8000,1686622,210,-84
add-yield-none,4,10000,80000,14731774,184,-444
add-yield-none,4,100000,800000,146732852,183,-117
add-yield-none,4,1000000,8000000,1446638979,180,-7486
add-yield-m,2,10000,40000,44548095,1113,0
add-yield-m,4,10000,80000,106971088,1337,0
add-yield-m,8,10000,160000,240659259,1504,0
add-yield-m,12,10000,240000,361103462,1504,0
add-yield-c,2,10000,40000,27145427,678,0
add-yield-c,4,10000,80000,59980766,749,0
add-yield-c,8,10000,160000,130684172,816,0
add-yield-c,12,10000,240000,216588120,902,0
add-yield-s,2,10000,40000,40168966,1004,0
add-yield-s,4,10000,80000,107075828,1338,0
add-yield-s,8,1000,16000,33663986,2103,0
add-yield-s,12,1000,24000,67732671,2822,0
add-m,1,10000,20000,890780,44,0
add-m,2,10000,40000,3491380,87,0
add-m,4,10000,80000,13730694,171,0
add-m,8,10000,160000,27492561,171,0
add-m,12,10000,240000,44115262,183,0
add-c,1,10000,20000,540768,27,0
add-c,2,10000,40000,2536136,63,0
add-c,4,10000,80000,13168862,164,0
add-c,8,10000,160000,37418575,233,0
add-c,12,10000,240000,80062657,333,0
add-s,1,10000,20000,427107,21,0
add-s,2,10000,40000,9939255,248,0
add-s,4,10000,80000,55053288,688,0
add-s,8,10000,160000,169801712,1061,0
add-s,12,10000,240000,333545448,1389,0
