list-none-none,1,10,1,30,90332,3011
list-none-none,1,100,1,300,158319,527
list-none-none,1,1000,1,3000,221943,73
list-none-none,1,10000,1,30000,839950,27
list-none-none,1,20000,1,60000,1241419,20
list-none-none,2,1,1,6,138101,23016
list-none-none,2,10,1,60,110436,1840
list-none-none,4,1,1,12,164917,13743
list-none-none,4,10,1,120,185769,1548
list-none-none,8,10,1,240,260076,1083
list-none-none,12,1,1,36,416381,11566
list-i-none,2,1,1,6,133499,22249
list-i-none,2,2,1,12,154621,12885
list-i-none,4,1,1,12,197906,16492
list-i-none,4,2,1,24,191017,7959
list-i-none,8,1,1,24,318645,13276
list-i-none,8,2,1,48,291222,6067
list-i-none,8,4,1,96,329060,3427
list-i-none,12,1,1,36,408416,11344
list-i-none,12,2,1,72,403657,5606
list-i-none,12,8,1,288,1305025,4531
list-d-none,2,1,1,6,122120,20353
list-d-none,2,2,1,12,111372,9281
list-d-none,2,4,1,24,106199,4424
list-d-none,2,8,1,48,184415,3841
list-d-none,2,16,1,96,119696,1246
list-d-none,2,32,1,192,156568,815
list-d-none,4,1,1,12,171494,14291
list-d-none,4,2,1,24,181670,7569
list-d-none,4,4,1,48,168756,3515
list-d-none,4,8,1,96,145585,1516
list-d-none,8,2,1,48,301813,6287
list-d-none,8,8,1,192,266163,1386
list-d-none,8,16,1,384,303138,789
list-d-none,12,1,1,36,408994,11360
list-d-none,12,4,1,144,327667,2275
list-il-none,2,1,1,6,111249,18541
list-il-none,2,2,1,12,118217,9851
list-il-none,2,8,1,48,197181,4107
list-il-none,2,16,1,96,199410,2077
list-il-none,4,1,1,12,207268,17272
list-il-none,4,2,1,24,177966,7415
list-il-none,4,4,1,48,178271,3713
list-il-none,4,8,1,96,136978,1426
list-il-none,8,1,1,24,263686,10986
list-il-none,8,2,1,48,277896,5789
list-il-none,12,1,1,36,341157,9476
list-il-none,12,2,1,72,401755,5579
list-dl-none,2,1,1,6,95273,15878
list-dl-none,2,8,1,48,137579,2866
list-dl-none,4,1,1,12,180155,15012
list-dl-none,4,4,1,48,176544,3678
list-dl-none,8,1,1,24,277298,11554
list-dl-none,12,1,1,36,390667,10851
list-dl-none,12,2,1,72,372258,5170
list-i-m,12,32,1,1152,1463288,1270
list-d-m,12,32,1,1152,1474459,1279
list-il-m,12,32,1,1152,1759961,1527
list-dl-m,12,32,1,1152,1705686,1480
list-i-s,12,32,1,1152,1867495,1621
list-d-s,12,32,1,1152,1693111,1469
list-il-s,12,32,1,1152,2270131,1970
list-dl-s,12,32,1,1152,1956803,1698
list-none-none,1,1000,1,3000,226193,75
list-none-m,1,1000,1,3000,259036,86
list-none-m,2,1000,1,6000,6645846,1107
list-none-m,4,1000,1,12000,22477503,1873
list-none-m,8,1000,1,24000,124450189,5185
list-none-m,12,1000,1,36000,364733974,10131
list-none-m,16,1000,1,48000,772061095,16084
list-none-m,24,1000,1,72000,1955853773,27164
list-none-s,1,1000,1,3000,214443,71
list-none-s,2,1000,1,6000,4789498,798
list-none-s,4,1000,1,12000,17709738,1475
list-none-s,8,1000,1,24000,84712697,3529
list-none-s,12,1000,1,36000,176055056,4890
list-none-s,16,1000,1,48000,311343027,6486
list-none-s,24,1000,1,72000,877179013,12183
